date,message
2018-01-11 14:02:28,"Dr. Aggressive Giggi Gúrka Wincest named the group Karlmenn sem myrða konur."
2018-01-11 14:27:46,"Dr. Sefurhjástelpu named the group Karlmenn sem virða konur."
2018-01-11 14:28:24,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group Karlmenn sem virða og myrða konur."
2018-01-11 14:31:02,"Dr. Cardi-O Grafíkman named the group Karlmenn sem virða og myrða og gyrða og girða konur."
2018-04-06 14:32:52,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group Help."
2018-04-07 23:03:54,"Dr. Poop zza named the group Party Hjá Leksu, Komiði."
2018-04-08 13:54:40,"Dr. Poop Connoisseur named the group Boycott Öryggismiðstöðina."
2018-04-08 14:09:10,"Dr. Poop Connoisseur named the group Það hét 'karlmenn sem virði, girða og myrða konur'."
2018-04-08 14:10:55,"Dr. Double Digit Big Bucks Boner Maker named the group #Boycott Karlmenn."
2018-04-08 15:00:37,"Dr. Söngfugl named the group #Boycott Skákmenn."
2018-04-25 21:31:13,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group #Boycott Fugla Sticker."
2018-05-24 14:36:58,"Dr. Helmingur á þakinu (Nerd) named the group #Boycott Marxism."
2018-05-26 14:23:56,"Dr. Poop Connoisseur named the group Ekki #Boycott Ammlið hans Eyva, 1 Juni Fös."
2018-06-07 09:58:23,"Dr. Poop Connoisseur named the group #Boycott Kapítalisma."
2018-06-17 19:30:02,"Dr. Helmingur á þakinu (Nerd) named the group #Boycott 😍😂😮😢😡👍👎."
2018-06-22 16:47:04,"Dr. Salir named the group #Boycott Nígeríuþrælar."
2018-08-09 20:54:38,"Dr. Cardi-O Grafíkman named the group #Boycott Typing."
2018-08-25 18:09:48,"Dr. Poop Connoisseur named the group #Boycott Egilsstaðir."
2018-10-28 21:43:16,"Dr. Double Digit Big Bucks Boner Maker named the group VATN."
2018-10-28 21:43:30,"Dr. Sefurhjástelpu named the group #(dont)Boycott VATN!!"
2018-10-28 21:43:43,"Dr. Doobeasy named the group # Boycott VATN!"
2018-10-28 21:46:12,"🎉🎉Dr. Brauðostur 👍🎉🎉 named the group #Boycott VATN!"
2018-10-28 21:46:28,"Dr. Salir named the group #ekkiBoycott VATN!"
2018-12-06 01:05:19,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group #ekkiBoycott Vélrottur."
2018-12-11 18:19:10,"Dr. Salir named the group #Boycott ⚽️."
2018-12-25 20:45:20,"Dr. Doobeasy named the group #Boycott Eyvi Með 10."
