date,message
2017-01-30 20:19:44,"Dr. Poop zza named the group Rip ferð 2k17 - Planað á ts."
2017-01-30 20:53:45,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group YEBOIII Ferð 2k17."
2017-01-31 09:01:33,"Dr. Sefurhjástelpu named the group YEBOIII Ferð 2k17 9-17 agust??"
2017-02-10 22:25:59,"Dr. Sefurhjástelpu named the group YEBOIII Ferð 2k17 7-17 agust??"
2017-02-11 18:53:09,"Dr. Aggressive Giggi Gúrka Wincest named the group Kartöfluboiisar 2k17 Ferð 7-17."
2017-02-11 18:53:17,"Dr. Aggressive Giggi Gúrka Wincest named the group Kartöfluboiisar 2k17 Ferð 7-17 Águst."
2017-02-14 15:20:33,"Dr. Cardi-O Grafíkman named the group Karöfluboiisar 2k17 Ferð 7-17 Águst."
2017-03-03 18:36:39,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group Fokk Getter 2k17 Ferð 7-17 Águst."
2017-03-03 18:37:12,"Dr. Helmingur á þakinu (Nerd) named the group Fokk Ingvar 2k17 Ferð 7-17 Águst."
2017-03-03 18:37:29,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group Fokk Ingvar Og Getter 2k17 Ferð 7-17 Águst."
2017-03-04 01:06:50,"Dr. Vöðvar 'Yummy SlummyTyppagat'Cheesehater🧀 named the group Snoozestaðarboys 2k17 Ferð 7-17 Águst."
2017-03-15 08:52:26,"Dr. Doobeasy named the group Grænmetisstaður 2k17 Ferð 7-17 Águst."
2017-03-23 15:29:40,"Dr. Helmingur á þakinu (Nerd) named the group ⚽⚽ FootballGuys ⚽⚽."
2017-03-23 16:43:20,"Dr. Helmingur á þakinu (Nerd) named the group 🍺 Bústaðarbois 🍺."
2017-03-26 20:07:27,"Dr. Aggressive Giggi Gúrka Wincest named the group 🍺 Dankstaðarbois 🍺."
2017-03-26 20:07:43,"Dr. Aggressive Giggi Gúrka Wincest named the group 🐸 Dankstaðarbois 🐸."
2017-03-31 12:01:03,"Dr. Doobeasy named the group 🐸 Ælustaðarbois 🐸."
2017-04-01 17:00:18,"Dr. Sefurhjástelpu named the group 🐸 Rip Clubpenguin bois 🐸."
2017-04-03 20:56:10,"Dr. Cardi-O Grafíkman named the group 🐧 Rip Clubpenguin bois 🐧."
2017-04-09 23:04:49,"Dr. Söngfugl named the group Memeti."
2017-04-17 00:39:53,"Dr. Sefurhjástelpu named the group GetterSux."
2017-04-20 23:45:37,"Dr. Helmingur á þakinu (Nerd) named the group GetterisBetter."
2017-04-20 23:47:39,"Dr. Double Digit Big Bucks Boner Maker named the group AlltNemaGetterPls."
2017-04-21 13:26:58,"Dr. Helmingur á þakinu (Nerd) named the group EkkertNemaGetterPls."
2017-04-21 13:27:27,"Dr. Söngfugl named the group EkkertGetterPls."
2017-04-21 17:03:48,"Dr. Double Digit Big Bucks Boner Maker named the group GETTER ER DRASL."
2017-04-24 15:34:25,"Dr. Helmingur á þakinu (Nerd) named the group HJÁLMAR ER DRASL."
