date,message
2021-02-17 10:26:28,"Dr. Double Digit Big Bucks Boner Maker named the group #Boycott Haukar."
2021-03-12 10:40:16,"Dr. Poop Connoisseur named the group Hjalli Fan Club - #Boycott Haukar."
2021-06-11 15:58:05,"Dr. Salir named the group Hjalli Fan Club - #Boycott Tær."
2021-06-15 18:37:36,"Dr. Aggressive Giggi Gúrka Wincest named the group Hjalli Fan Club - #Boycott Covid."
2021-07-08 15:02:48,"Dr. Helmingur á þakinu (Nerd) named the group The Poop Chat - #Boycott Covid."
2021-08-04 14:21:31,"Dr. Helmingur á þakinu (Nerd) named the group The Poop Chat - #Boycott Skatturinn."
2021-09-21 16:22:01,"Dr. Aggressive Giggi Gúrka Wincest named the group The Bi-Curious Chat - #Boycott Skatturinn."
2021-10-11 12:59:28,"Dr. Salir named the group The Bi-Curious Chat - #Boycott Fennel."
2021-10-26 14:09:01,"Dr. Aggressive Giggi Gúrka Wincest named the group The Bi-Curious Chat - #Boycott Dominos."
2021-11-15 18:29:33,"Dr. Helmingur á þakinu (Nerd) named the group The Bi-Curious Nerd Association Chat - #Boycott Dominos."
